Id,Name,Date,High,Low,Open,Close,Volume,Adj Close,MA_5,MA_20,MA_5(yest),MA_20(yest)
1312,國喬,2019-08-13,18.25,17.600000381469727,18.25,17.75,5861000.0,17.75,18.25999984741211,19.89999990463257,18.439999771118163,20.052499866485597
1560,中砂,2019-08-13,57.400001525878906,56.599998474121094,57.400001525878906,57.20000076293945,90000.0,57.20000076293945,57.400000762939456,58.40500011444092,57.460000610351564,58.49000015258789
1710,東聯,2019-08-13,22.0,21.350000381469727,22.0,21.549999237060547,2617000.0,21.549999237060547,22.109999465942384,23.210000038146973,22.31999969482422,23.330000114440917
2031,新光鋼,2019-08-13,28.5,28.100000381469727,28.5,28.299999237060547,1114000.0,28.299999237060547,28.74000015258789,30.17249994277954,28.79000015258789,30.280000019073487
2313,華通,2019-08-13,26.700000762939453,26.100000381469727,26.549999237060547,26.399999618530273,8790000.0,26.399999618530273,26.620000076293945,27.06500005722046,26.59000015258789,27.17500009536743
2317,鴻海,2019-08-13,73.80000305175781,72.9000015258789,73.80000305175781,73.0999984741211,13150000.0,73.0999984741211,73.17999877929688,76.8800006866455,73.21999969482422,77.22500076293946
2344,華邦電,2019-08-13,17.399999618530273,16.799999237060547,17.299999237060547,17.0,37262000.0,17.0,17.35,18.052499961853027,17.59000015258789,18.05
2352,佳世達,2019-08-13,19.299999237060547,19.100000381469727,19.200000762939453,19.149999618530273,3706000.0,19.149999618530273,18.940000152587892,19.45500020980835,18.88000030517578,19.53000020980835
2355,敬鵬,2019-08-13,30.899999618530273,30.600000381469727,30.899999618530273,30.75,406000.0,30.75,31.2,32.929999923706056,31.29000015258789,33.10249996185303
2376,技嘉,2019-08-13,50.400001525878906,49.04999923706055,49.5,49.20000076293945,10269000.0,49.20000076293945,47.69000015258789,47.627499961853026,47.15,47.60749988555908
2377,微星,2019-08-13,89.80000305175781,87.9000015258789,87.9000015258789,88.0,3823000.0,88.0,86.9,87.01000022888184,86.66000061035156,86.98500022888183
2449,京元電子,2019-08-13,32.29999923706055,31.299999237060547,31.899999618530273,31.450000762939453,7233000.0,31.450000762939453,31.750000762939454,31.895000171661376,31.88000030517578,31.892500114440917
2456,奇力新,2019-08-13,77.0,75.19999694824219,77.0,75.4000015258789,2050000.0,75.4000015258789,76.10000152587891,81.89000053405762,76.72000122070312,82.52000045776367
3017,奇鋐,2019-08-13,44.099998474121094,42.0,42.599998474121094,43.349998474121094,35404000.0,43.349998474121094,41.90999984741211,41.88999996185303,41.05,41.775
3035,智原,2019-08-13,55.0,53.20000076293945,54.79999923706055,53.400001525878906,3089000.0,53.400001525878906,54.82000045776367,57.645000267028806,55.14000015258789,57.74500026702881
3037,欣興,2019-08-13,38.0,37.099998474121094,38.0,37.20000076293945,22634000.0,37.20000076293945,37.58000030517578,38.54000034332275,37.29000015258789,38.52250022888184
3380,明泰,2019-08-13,23.950000762939453,23.149999618530273,23.200000762939453,23.399999618530273,10262000.0,23.399999618530273,23.760000228881836,22.30000009536743,23.620000457763673,22.16750011444092
3535,晶彩科,2019-08-13,28.049999237060547,26.700000762939453,27.200000762939453,27.700000762939453,3569000.0,27.700000762939453,26.739999771118164,26.2,26.349999618530273,26.13999996185303
3702,大聯大,2019-08-13,40.849998474121094,40.349998474121094,40.650001525878906,40.400001525878906,2537000.0,40.400001525878906,40.78000030517578,41.03250007629394,40.74000015258789,41.0875
4906,正文,2019-08-13,28.75,27.700000762939453,28.299999237060547,27.799999237060547,7093000.0,27.799999237060547,28.3,27.395000076293947,28.4,27.312500095367433
4919,新唐,2019-08-13,46.599998474121094,45.75,46.04999923706055,45.75,747000.0,45.75,47.12999954223633,49.3625,47.539999389648436,49.57250003814697
6285,啟碁,2019-08-13,77.4000015258789,76.4000015258789,77.0999984741211,77.0,2191000.0,77.0,74.87999877929687,76.575,74.43999938964843,76.5400001525879
8046,南電,2019-08-13,40.400001525878906,39.650001525878906,40.0,39.900001525878906,3418000.0,39.900001525878906,39.65,41.127499961853026,39.619999694824216,41.11499996185303
8163,達方,2019-08-13,40.54999923706055,39.599998474121094,39.95000076293945,40.29999923706055,983000.0,40.29999923706055,39.29999923706055,40.749999809265134,39.12999954223633,40.84749984741211
8215,明基材,2019-08-13,21.850000381469727,21.450000762939453,21.850000381469727,21.600000381469727,879000.0,21.600000381469727,21.66999969482422,23.462499809265136,21.699999618530274,23.674999809265138
